"R2","lin","inter","betaLin","betaInter","R2_lin","R2_inter","R2_total","R2_add","diff"
0.1,0.5,0.5,0.0794537493604587,0.0585788480807033,0.049995932155195,0.0499895722563933,0.0991546068939093,0.0999855044115883,3.89699738960757
0.3,0.5,0.5,0.155845201401519,0.114906245539434,0.149998760970227,0.149996097536055,0.2975018472922,0.299994858506282,3.60369622654549
0.5,0.5,0.5,0.237494394395411,0.175110387110672,0.249994798066531,0.249999965932844,0.495839717610174,0.499994763999375,3.07964419951984
0.8,0.5,0.5,0.469219262940756,0.345966935049906,0.399992526758415,0.400001194044566,0.79334562914218,0.799993720802981,0.407465955694447
0.1,0.8,0.2,0.100512007489434,0.0370441017016845,0.0799950373590777,0.0199874401012378,0.0993178924729518,0.0999824774603155,3.8921214407865
0.3,0.8,0.2,0.197203261746498,0.0726992466015148,0.240002956980252,0.0599984613651087,0.298006988479133,0.300001418345361,3.58469439891731
0.5,0.8,0.2,0.300659909103803,0.110840057895493,0.399997904057035,0.0999981690195857,0.496672040295852,0.49999607307662,3.03463278246133
0.8,0.8,0.2,0.595440629007484,0.219514504649288,0.639993832985673,0.159998971782129,0.794674332407701,0.799992804767802,0.21365941350255
0.1,0.2,0.8,0.0502515259922584,0.0741073980896527,0.019995119829714,0.0799908885726326,0.099321312988494,0.0999860084023466,3.90183829049199
0.3,0.2,0.8,0.0985944032847677,0.145399317075478,0.0599927097502418,0.23999963119103,0.297998020491133,0.299992340941272,3.62212799770175
0.5,0.2,0.8,0.150330238569441,0.221683443585617,0.0999990128876963,0.400001321326252,0.496676273208728,0.500000334213948,3.12159054794811
0.8,0.2,0.8,0.297713063450722,0.43903096557704,0.159990735694204,0.640001874532903,0.794674241342851,0.799992610227107,0.554786804323519
