"R2","lin","inter","betaLin","betaInter","R2_lin","R2_inter","R2_total","R2_add","diff"
0.2,0.5,0.5,0.118986657601617,0.203889711715022,0.0999961581894317,0.099999716260039,0.197548624722936,0.199995874449471,NA
0.5,0.5,0.5,0.236896683054846,0.405927952994655,0.249999232503296,0.249999990658897,0.493880982144914,0.499999223162193,NA
0.8,0.5,0.5,0.465425795303648,0.797519556511789,0.399997328726371,0.400000223879046,0.790208381716127,0.799997552605417,NA
0.2,0.8,0.2,0.150556578521578,0.128989055703789,0.159999908465189,0.0399988354533358,0.19804093281133,0.199998743918524,NA
0.5,0.8,0.2,0.300017118067468,0.257041426486875,0.400000803591197,0.0999991708039646,0.495105389353121,0.499999974395162,NA
0.8,0.8,0.2,0.591490878530494,0.506766204953202,0.639998427456003,0.159999804924729,0.792166886106509,0.799998232380731,NA
0.2,0.2,0.8,0.0752726896534308,0.257980458166167,0.0399942799465724,0.159999266594868,0.198035850852786,0.199993546541441,NA
0.5,0.2,0.8,0.150006252467471,0.514083948110971,0.0999975653053415,0.400000146011174,0.495103169589394,0.499997711316515,NA
0.8,0.2,0.8,0.295745003675997,1.01353506203991,0.159998581426798,0.640000352579386,0.792167605896327,0.799998934006184,NA
0.2,0,1,0,0.288785095022152,0,0.199999616286485,0.199999616286485,0.199999616286485,NA
0.5,0,1,0,0.577571745775479,0,0.500000747235096,0.500000747235096,0.500000747235096,NA
0.8,0,1,0,1.1551427174877,0,0.800000263797813,0.800000263797813,0.800000263797813,NA
